county,lng,lat
臺北市,121.5598,25.09108
基隆市,121.7081,25.10898
新北市,121.6739,24.91571
桃園市,121.2168,24.93759
新竹縣,121.1252,24.70328
新竹市,120.9647,24.80395
苗栗縣,120.9417,24.48927
臺中市,120.9417,24.23321
彰化縣,120.4818,23.99297
南投縣,120.9876,23.83876
雲林縣,120.3897,23.75585
嘉義縣,120.574,23.45889
嘉義市,120.4473,23.47545
臺南市,120.2513,23.1417
高雄市,120.666,23.01087
屏東縣,120.62,22.54951
宜蘭縣,121.7195,24.69295
花蓮縣,121.3542,23.7569
臺東縣,120.9876,22.98461
澎湖縣,119.6151,23.56548
金門縣,118.3186,24.43679
連江縣,119.5397,26.19737
